<<<<<<< HEAD
,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Surface de la cave,Surface du terrain,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Largeur de la façade à rue,Combien de feux ouverts ?,Surface de la chambre 4,Dressing,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Parlophone,Climatisation,Jacuzzi,Sauna,Internet,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Surface constructible totale au sol,Salle à manger,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Cave,Site internet,Grenier,Obligation de construire,Revenu cadastral,Buanderie,Autorisation de lotissement,Surface de l'espace professionnel,Salon,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Disponible le,Surface de bureau,Surface de la chambre 5,Informations supplémentaires,Pourcentage loué,Revenu mensuel actuel,Isolé,Description libre du PEB,Nom de l'agent
10,Après la signature de l’acte,2021,,3,,1,,142 m²,22 m²,Équipée,20 m²,4,24 m²,13 m²,12 m²,10 m²,2,,Non,,,,,,,,,Non communiqué,in opmaak,Non communiqué,Non communiqué,Non,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Edingsesteenweg 144
1755 - Gooik",1955 - 1099,5 m,,1,,,,16 m²,,,,,,,,,,Non communiqué,,,,,,,,Gaz,,,,,Oui,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,1965,À rafraîchir,2,,,,,216 m²,,,,3,,,,1,,2,,221 m²,,,,,,,336 kWh/m²,D,20210901-0002458707-RES-1,Non communiqué,Non communiqué,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",279.000 €,Non,"Brakelsesteenweg 269
9400 - Ninove",6 m,,,Non,Non,,Non,,,,,,6 m,,,,,,,,,,,,,Non,,,,Oui,,216 m²,,,,Non,Non,,,,Non,,,Non,,Oui,spir1025,,,,,,,,,,,,,,,,
12,Équipée,,,,,,,2,,,1,,1,,,,Oui,,Oui,,,F,,,,,,20210816-0002452115-RES-1,Non communiqué,Non communiqué,Mazout,Non,Non,,100.000 €,354 €,,,Maria RISTUCCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Non,,Non,,,,,,,,933 kWh/m²,,,,"Boulevard Edmond Machtens 57/17
1080 - Molenbeek-Saint-Jean",,Zone non inondable,,,,Non,"Chaque dimanche de 16h15 à 18h15 et chaque mardi de 12h15 à 14h15, à partir du mardi 05 octobre 2021 jusqu’au mardi 02 novembre 2021 inclus.",Après la signature de l’acte,Non,,,,,,,,,,,,
13,Après la signature de l’acte,2021,Excellent état,3,,,,,165 m²,,,,3,,,,1,,2,,370 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,Zone non inondable,,348.500 €,Non,,7 m,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,10 m,Oui,,,,,,,,,,,,Non,Non,Oui,Non,Oui,,,Oui,,,,,,,,,,Oui,Oui,,Oui,,,,,,,,,,,,,,,,,
14,Après la signature de l’acte,,Bon,3,2,4,Urbain,,195 m²,47 m²,,19 m²,3,17 m²,17 m²,18 m²,1,,2,,748 m²,,,,,,,388 kWh/m²,D,20210203-0002368430-RES-1,Non communiqué,Non communiqué,Gaz,,,,,339.000 €,Non,"Brusselbaan 90
9300 - Aalst",8 m,,,,Oui,,,,,,,,11 m,Oui,500 m²,,20 m²,,,,,,,,,,,,,,,,,,Connecté,,,,4492524,Oui,,,,,,,,,,,,,,,,,,,,,,,
15,,2021,,,,,,,,23 m²,Équipée,20 m²,1,,,,1,,,,169 m²,,,,,,,Non communiqué,Non communiqué,23044-G-SV100/2017/EP06313/A001/D01/SD002,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Nieuwstraat 9
9450 - Denderhoutem",5 m,,,Non,Non,,,,Non,Non,Non,Non,,Oui,,Sud-ouest,16 m²,,,,,,,,,,,,,Oui,,,,,Connecté,,Non,,1770 Liedekerke - Pa,,Non,,,Oui,,,,,,,,Oui,41,,,,,,,,,,
16,,,Excellent état,,,,,,85 m²,,Équipée,8 m²,2,,,,1,,,,,Oui,,,,,,197 kWh/m²,B,20210609-0002426940-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,Non,"Nieuwstraat 9
9450 - Denderhoutem",,,,Non,Non,,,,Non,Non,Non,Non,,Oui,,Sud-est,,,,,,,,,,,,,,Oui,,,,,Connecté,,Non,,1770 Liedekerke - Me,,Non,262 €,,,,,,,,,,Oui,,,,,,,,,,,
17,,2019,,3,,,,,176 m²,40 m²,Équipée,11 m²,2,19 m²,17 m²,,1,,1,,,,,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",337.000 €,Non,"Keizersplein 71
9300 - Aalst",,,,,,,Non,,,,,,,,149 m²,Sud,28 m²,,,,,,,,Non,,,,,Oui,,,,,,,Non,,3503 -,,,,,Non,,,,,,,,,,,,,,,,,,,
18,,,Excellent état,,1,,Pays,,200 m²,,,,4,,,,1,,1,,501 m²,Oui,,,,,,400 kWh/m²,D,20210922-0002467418-RES-1,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,Non,"Kortrijksesteenweg 1166
9051 - Gent",16.12 m,,,Non,Non,,Non,,Non,Non,Non,Non,29 m,Non,,Sud,,,,,,,,,,,,,,Oui,Toutes sortes,,Oui,,Connecté,,Non,,VK210801-3,,Non,,,Oui,,,,,,,,Oui,,,,,,,,,,,
19,À définir,,À rafraîchir,2,,,Urbain,,,,Équipée,,3,,,,1,1,1,,,,,,,,,385 kWh/m²,D,20210730-0002446626-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,Non,"Eeuwfeestwal 32
3700 - Tongeren",,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,Non,,4493251,Oui,,,,Non,,,,,,,,,,Groot Brussel,,,,,,,,,
20,Après la signature de l’acte,,Bon,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Équipée,,4,21 m²,15 m²,12 m²,2,,3,,151 m²,,,,,,,302 kWh/m²,D,20210121-0002362679-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",305.000 €,,"Brusselsesteenweg 89
9400 - Ninove",,,12 m²,,,,Non,,,,,,,Oui,,,,,,,,,,,Non,,,,,,,,,,Connecté,,,,,,,1.366 €,Oui,Non,,,,,,,,,,,,,,,,,,,
21,À définir,,Bon,2,2,2,Centre commercial,,,,Équipée,,4,,,,1,1,2,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",355.000 €,Oui,"Eeuwfeestwal 32
3700 - Tongeren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Non,Oui,4493250,,,,,Non,,Oui,,,,,,,,Groot Brussel,,,,,,,,,
22,Après la signature de l’acte,,Fraîchement rénové,3,,,,,,,Équipée,,3,,,,1,,1,,161 m²,,,,,,,764 kWh/m²,F,20210909-0002461977-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,Non,"Eeuwfeestwal 32
3700 - Tongeren",,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Connecté,,,,4500437,,,,,,,,,,,,,,,,,,,,,,,,
23,Après la signature de l’acte,1929,Bon,3,1,1,,,110 m²,30 m²,Hyper équipée,9 m²,3,13 m²,13 m²,12 m²,1,,2,,354 m²,,,,,,,325 kWh/m²,D,2426822,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,Non,"Assesteenweg 228
1742 - Ternat",,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Connecté,,Non,,4455349,,,356 €,,Non,,,,,,,,,,,,,,,,,,,
24,À définir,1973,Excellent état,2,1,2,,,166 m²,32 m²,Équipée,10 m²,3,16 m²,16 m²,13 m²,1,,,,240 m²,,,,,,,135 kWh/m²,B,2442715,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,Non,"Assesteenweg 228
1742 - Ternat",8 m,,,,,,,,,,,,,Oui,,,25 m²,,,,,,,,,,,Oui,,Oui,,,,40 m²,Connecté,,Non,,4492413,,,1.047 €,,Oui,,,,,,,,,,,31 mars 2022 - 00:00,,,,,,,,
25,À définir,1948,Excellent état,3,,2,,,150 m²,33 m²,Semi-équipée,17 m²,3,25 m²,19 m²,14 m²,1,,2,11 m²,451 m²,,,,,,,319 kWh/m²,D,2424351,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Assesteenweg 228
1742 - Ternat",,,,,,,,,,,,,,Oui,,,45 m²,,,,,,,,,,,,,Oui,,,,,Connecté,,Non,,4392939,Oui,,567 €,,Non,,,,,,,,,,,31 octobre 2021 - 00:00,,,,,,,,
26,Après la signature de l’acte,1998,Excellent état,3,1,1,,,150 m²,37 m²,Équipée,11 m²,3,14 m²,13 m²,9 m²,1,,2,,422 m²,Oui,,,Oui,,,214 kWh/m²,C,2445073,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,Non,"Assesteenweg 228
1742 - Ternat",,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,Oui,,,,40 m²,Connecté,,Non,,4433035,,,986 €,,Oui,,,,,,,,,,,,5 m²,,,,,,,
27,,1977,Excellent état,4,,,"Zone d'habitat (résidentiel, urbain ou rural)",,193 m²,,Équipée,13 m²,3,22 m²,17 m²,17 m²,,1,2,,558 m²,,Non,Non,Non,Non,Non,288 kWh/m²,C,20210825-0002455889-RES-1,Non communiqué,Non communiqué,,Oui,,Zone non inondable,,455.000 €,Non,,12 m,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,260 m²,Sud-est,60 m²,Sud-ouest,Non,Non,Non,Non,Non,Oui,,Non,Oui,Non,Oui,,Toutes sortes,,,,Connecté,"Oui, conforme",,,,,,1.300 €,,,,,,,,,,,,,,,,,,,,,
28,Après la signature de l’acte,1931,À rénover,2,,,,,125 m²,28 m²,Équipée,22 m²,3,14 m²,14 m²,12 m²,1,,,10 m²,853 m²,,,,,,,494 kWh/m²,E,2369720,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,Non,"Assesteenweg 228
1742 - Ternat",,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Connecté,,Non,,4375123,Oui,,336 €,,Non,,,,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,1975,Excellent état,2,1,1,,,225 m²,39 m²,Équipée,9 m²,3,15 m²,14 m²,9 m²,1,,,,210 m²,,,,,,,328 kWh/m²,D,2439037,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Assesteenweg 228
1742 - Ternat",,,,,,,,,,,,,,Oui,,,21 m²,,,,,,,,,,,,,Oui,,,,43 m²,Connecté,,Non,,4408415,,,845 €,,Oui,,,,,,,,,,,,,,,,,,,
30,Après la signature de l’acte,,Fraîchement rénové,3,1,,Rue commerçante,,197 m²,,Équipée,,5,,,,2,,3,,242 m²,Oui,,,,,,266 kWh/m²,C,Certificaat-20210903-0002459874-RES-1.pdf,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,379.000 €,Non,"Bredabaan 260
2930 - Brasschaat",,,,,,,Non,,,,,,10.8 m,Oui,,,,,,,,,,,Non,,,,,Oui,,,,,,,,Oui,36761 - BRA-21-KHE-0,,,872 €,,,,,,,,,,,,,,,,,,,,,
31,Après la signature de l’acte,1986,Fraîchement rénové,4,1,,,173 m²,40 m²,1,14 m²,3,24 m²,11 m²,9 m²,1,1,3,Non,,21 m,,,,Oui,Oui,358 kWh/m²,D,20210504-0002410631-RES-1,Non communiqué,Non communiqué,Non,Oui,Non,Zone non inondable,549.000 €,,1.202 €,"Edingsesteenweg 341
1755 - Kester",2667 - 21/000039/506,,Hyper équipée,,,,,630 m²,,,,,,Oui,Oui,,Oui,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,Non,,,,,,,,,,Nord-est,,,,,,,,,,,
32,Après la signature de l’acte,1979,Fraîchement rénové,4,,,,,175 m²,,Hyper équipée,,3,18 m²,17 m²,10 m²,1,,2,,615 m²,,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,201401280001517000000000000,169 kg CO?/m²,Non communiqué,,Oui,,,,549.000 €,Non,,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,1 m²,Sud-ouest,1 m²,Sud-ouest,Non,Non,Non,Non,Non,Non,,Oui,Oui,Non,Non,,Toutes sortes,,,,Connecté,,,,,,,900 €,,,,,,,,,,,,,,,,,,,,,
33,À définir,2013,Excellent état,2,,,,,,,,,4,,,,,,2,,150 m²,,Non,Non,Non,Non,Non,Non communiqué,Non communiqué,39,Non communiqué,Non communiqué,Gaz,Non,,,,350.000 €,Non,,7 m,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,1 m²,,1 m²,,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,Toutes sortes,,Oui,,,,,,,Oui,,,Oui,Oui,,Oui,,,,,,,136,,,,,,,,,,
34,Après la signature de l’acte,,,2,1,,Urbain,,196 m²,30 m²,,13 m²,4,46 m²,17 m²,14 m²,2,,2,,359 m²,Oui,,,,,,167 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,Non,"Affligemsestraat 443
1770 - Liedekerke",,,12 m²,,,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,Oui,,Connecté,,Non,,4508893,,,614 €,,,,,,,,,,,,,,,,,,,,,
35,,,À rénover,,,,,,,,,,2,,,,1,,,,1160 m²,Oui,,,,,,683 kWh/m²,F,20120221-0001046176-00000003-0,Non communiqué,Non communiqué,,Oui,,,,275.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Oui,,,,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,Oui,,Connecté,,,,"Valierstraat 45, 177",,,644 €,,,,Oui,,,,,,,,,,,,,,,,,
36,,1949,À rénover,,,,,,,,,,3,,,,1,,,,,,,,,,,916 kWh/m²,F,20210924-0002468340-RES-1,Non communiqué,Non communiqué,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",219.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Non,,Ouest,,,,,,,,,,,,,,,,,Oui,,Non connecté,,,,Velodroomstraat 213,,Non,,,,,Oui,,,,,,Oui,,,,,,,,,,,
37,,,,,,,,,,,,,4,,,,1,,,,790 m²,Oui,,,,,,728 kWh/m²,F,20210510-0002413276-res1,Non communiqué,Non communiqué,,Non,,,,310.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,Oui,,Non connecté,,,,PIJNEGEM18,,,698 €,,,,Oui,,,,,,,,,,,,,,,,,
38,À la livraison,,,3,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,3,,,,1,,,,139 m²,,Non,Non,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",366.000 €,Non,,6 m,,,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,,Oui,55 m²,,,,Non,Non,Non,Non,Non,Oui,,Non,Non,Oui,Non,Oui,,84 m²,,,Connecté,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,239.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,,,Non connecté,,,,bombardonCC,,,,,,,Oui,,,,,,,,,,,,,,,,,
40,,,,2,,,,,120 m²,,,,3,,,,1,,2,,210 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Zone non inondable,,273.000 €,,"Absveldstraat 21
2880 - Bornem",,,,,,,,,,,,,7 m,,,Sud-ouest,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,
41,Après la signature de l’acte,1982,Excellent état,2,,,Urbain,,216 m²,32 m²,Hyper équipée,16 m²,4,16 m²,15 m²,14 m²,1,,2,,101 m²,,,,,,,300 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,Non,Zone non inondable,,365.000 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",6 m,,8 m²,,,,,,,,,,6 m,Non,,,47 m²,,,Oui,,,,,,,,,,Oui,,,Oui,,Connecté,,Non,,4390038,,,1.031 €,,Non,,,,,,,,,,,,,,,,,,,
42,Après la signature de l’acte,1968,Bon,2,1,,Urbain,,260 m²,36 m²,Équipée,15 m²,4,18 m²,18 m²,12 m²,1,,2,,222 m²,Oui,,,,,,433 kWh/m²,E,20210709-0002439924-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,Non,"Stationstraat 32
9400 - Ninove",9.6 m,,12 m²,,,,Non,,,,,,9.6 m,Oui,,,,,,,,,,,Non,,,,,,,,,,Connecté,,Non,,4408231,Oui,,1.023 €,,,,,,,,,,,,,,,,,,,,,
43,À définir,1930,Bon,3,,,,,,34 m²,Américaine hyper-équipée,11 m²,3,28 m²,15 m²,15 m²,,,2,,677 m²,,,,,,,410 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",9 m,,,,Oui,,,,,,,,10 m,,,,30 m²,,,,,,,,,,,,,Oui,,,,,Connecté,,Non,,4383371,,,589 €,,Non,,,,,,,,,,Liedekerke,,10 m²,,,,,,,
